t,x(t)
0.0,0.0
1.0,0.11042416616339405
2.0,0.21736781224188875
3.0,0.32091897954216986
4.0,0.42116384586355166
5.0,0.5181867592976245
6.0,0.6120702715117968
7.0,0.7028951705228752
8.0,0.7907405129667779
9.0,0.8756836558704219
10.0,0.9578002879317854
11.0,1.0371644603140897
12.0,1.11384861696
13.0,1.1879236244316969
14.0,1.2594588012826218
15.0,1.3285219469666476
16.0,1.3951793702903887
17.0,1.4594959174143025
18.0,1.521534999408203
19.0,1.5813586193667433
20.0,1.6390273990903974
21.0,1.6946006053374003
22.0,1.7481361756520817
23.0,1.7996907437749705
24.0,1.8493196646399999
25.0,1.897077038964104
26.0,1.9430157374344488
27.0,1.9871874244984888
28.0,2.029642581762006
29.0,2.07043053100023
30.0,2.1095994567871097
31.0,2.147196428747743
32.0,2.1832674234389455
33.0,2.2178573458628743
34.0,2.2510100506185986
35.0,2.2827683626964603
36.0,2.3131740979199997
37.0,2.34226808304023
38.0,2.3700901754869337
39.0,2.3966792827816787
40.0,2.4220733816171505
41.0,2.4463095366073966
42.0,2.4694239187135154
43.0,2.491451823349277
44.0,2.5124276881711443
45.0,2.532385110557079
46.0,2.551356864778542
47.0,2.5693749188699613
48.0,2.5864704512000003
49.0,2.6026738667488463
50.0,2.6180148130957295
51.0,2.6325221961208243
52.0,2.646224195425679
53.0,2.6591482794762236
54.0,2.671321220472422
55.0,2.6827691089485532
56.0,2.6935173681080964
57.0,2.7035907678971243
58.0,2.7130134388201013
59.0,2.721808885501924
60.0,2.73
61.0,2.7376090748701403
62.0,2.7446578159899877
63.0,2.751167355143662
64.0,2.757158262371279
65.0,2.76265055808695
66.0,2.7676637249688283
67.0,2.7722167196247596
68.0,2.776327984037001
69.0,2.780015456789493
70.0,2.783296584081099
71.0,2.7861883305282023
72.0,2.7887071897599998
73.0,2.7908691948098134
74.0,2.7926899283056925
75.0,2.794184532463551
76.0,2.7953677188860295
77.0,2.7962537781702754
78.0,2.7968565893277346
79.0,2.7971896290191016
80.0,2.7972659806074427
81.0,2.7970983430325447
82.0,2.796699039509479
83.0,2.7960800260543266
84.0,2.79525289984
85.0,2.7942289073850404
86.0,2.79301895257825
87.0,2.7916336045419734
88.0,2.790083105336827
89.0,2.78837737751061
90.0,2.78652603149414
91.0,2.7845383728466797
92.0,2.7824234093536133
93.0,2.780189857979015
94.0,2.777846151675656
95.0,2.775400446055042
96.0,2.772860625920001
97.0,2.7702343116622816
98.0,2.7675288655276766
99.0,2.7647513977510423
100.0,2.761908772563653
101.0,2.759007614075238
102.0,2.756054312033047
103.0,2.753055027460223
104.0,2.750015698175797
105.0,2.7469420441985135
106.0,2.7438395730367087
107.0,2.7407135848664415
108.0,2.7375691776
109.0,2.7344112518469377
110.0,2.731244515769708
111.0,2.7280734898359884
112.0,2.724902511469698
113.0,2.7217357396027406
114.0,2.718577159129454
115.0,2.7154305852656835
116.0,2.7122996678144418
