t,x(t)
161.0,2.6214597356379263
162.0,2.620870292289788
163.0,2.6203425012163666
164.0,2.6198756686739793
165.0,2.61946906298367
166.0,2.6191219160071113
167.0,2.6188334245935136
168.0,2.6186027519997044
169.0,2.61842902928226
170.0,2.618311356664277
171.0,2.6182488048755848
172.0,2.6182404164687445
173.0,2.6182852071104072
174.0,2.6183821668486833
175.0,2.6185302613576384
176.0,2.618728433159224
177.0,2.618975602823115
178.0,2.6192706701449815
179.0,2.6196125153039294
180.0,2.619999999999699
181.0,2.6204319685695148
182.0,2.6209072490860255
183.0,2.6214246544356694
184.0,2.6219829833790893
185.0,2.622581021593081
186.0,2.6232175426950755
187.0,2.623891309250252
188.0,2.6246010737619176
189.0,2.625345579645388
190.0,2.626123562185437
191.0,2.626933749478632
192.0,2.6277748633596767
193.0,2.6286456203127653
194.0,2.6295447323685197
195.0,2.6304709079858295
196.0,2.6314228529201324
197.0,2.632399271077293
198.0,2.633398865353966
199.0,2.6344203384646647
200.0,2.635462393755518
201.0,2.63652373600501
202.0,2.6376030722122374
203.0,2.638699112372321
204.0,2.639810570239671
205.0,2.6409361640789717
206.0,2.642074617404284
207.0,2.643224659706241
208.0,2.6443850271674374
209.0,2.6455544633664445
210.0,2.6467317199703664
211.0,2.6479155574159066
212.0,2.649104745579491
213.0,2.6502980644360523
214.0,2.651494304706917
215.0,2.652692268496785
216.0,2.653890769919659
217.0,2.655088635714272
218.0,2.656284705848395
219.0,2.6574778341127674
220.0,2.6586668887041407
221.0,2.65985075279778
222.0,2.6610283251092706
223.0,2.6621985204458385
224.0,2.6633602702469625
225.0,2.6645125231143445
226.0,2.6656542453314853
227.0,2.666784421372363
228.0,2.667902054399667
229.0,2.6690061667522356
230.0,2.6700958004218793
231.0,2.6711700175194006
232.0,2.672227900729769
233.0,2.67326855375663
234.0,2.6742911017556703
235.0,2.6752946917572284
236.0,2.676278493077738
237.0,2.6772416977201114
238.0,2.6781835207629943
239.0,2.679103200738676
240.0,2.6799999999996578
241.0,2.680873205073861
242.0,2.6817221270082356
243.0,2.6825461017007206
244.0,2.6833444902205903
245.0,2.684116679116813
246.0,2.68486208071458
247.0,2.685580133399752
248.0,2.686270301891137
249.0,2.686932077500461
250.0,2.6875649783800326
251.0,2.6881685497577648
252.0,2.6887423641596593
253.0,2.689286021619477
254.0,2.689799149875532
255.0,2.6902814045544976
256.0,2.6907324693420143
257.0,2.6911520561400746
258.0,2.691539905210983
259.0,2.691895785307787
260.0,2.692219493791066
261.0,2.6925108567318956
262.0,2.6927697290009123
263.0,2.6929959943433075
264.0,2.693189565439657
265.0,2.693350383952407
266.0,2.6934784205579496
267.0,2.6935736749640786
268.0,2.6936361759127987
269.0,2.6936659811682846
270.0,2.693663177489893
271.0,2.6936278805900713
272.0,2.693560235077154
273.0,2.6934604143827547
