t,x(t)
0.0,0.0
1.0,0.05771419162521752
2.0,0.11540802060810347
3.0,0.17306112430632628
4.0,0.2306531400775544
5.0,0.28816370527945623
6.0,0.3455724572697003
7.0,0.4028590334059549
8.0,0.4600030710458886
9.0,0.5169842075471697
10.0,0.5737820802674668
11.0,0.6303763265644482
12.0,0.6867465837957824
13.0,0.7428724893191377
14.0,0.7987336804921829
15.0,0.8543097946725859
16.0,0.9095804692180156
17.0,0.9645253414861401
18.0,1.019124048834628
19.0,1.073356228621148
20.0,1.127201518203368
21.0,1.1806395549389566
22.0,1.2336499761855824
23.0,1.286212419300914
24.0,1.338306521642619
25.0,1.389911920568367
26.0,1.4410082534358255
27.0,1.4915751576026637
28.0,1.5415922704265492
29.0,1.5910392292651512
30.0,1.6398956714761375
31.0,1.6881412344171771
32.0,1.7357555554459378
33.0,1.7827182719200885
34.0,1.8290090211972978
35.0,1.8746074406352335
36.0,1.9194931675915645
37.0,1.9636458394239595
38.0,2.0070450934900865
39.0,2.0496705671476136
40.0,2.0915018977542097
41.0,2.1325187226675437
42.0,2.172700679245283
43.0,2.2120274048450965
44.0,2.2504785368246525
45.0,2.2880337125416204
46.0,2.3246725693536674
47.0,2.360374744618462
48.0,2.3951198756936734
49.0,2.4288875999369695
50.0,2.461657554706019
51.0,2.4934093773584904
52.0,2.5241227052520516
53.0,2.5537771757443712
54.0,2.5823524261931183
55.0,2.6098280939559606
56.0,2.636183816390567
57.0,2.6613992308546055
58.0,2.6854539747057453
59.0,2.7083276853016534
60.0,2.7299999999999995
61.0,2.750458141023006
62.0,2.7697196700511095
63.0,2.787809733629301
64.0,2.804753478302572
65.0,2.8205760506159137
66.0,2.835302597114317
67.0,2.848958264342774
68.0,2.861568198846275
69.0,2.873157547169811
70.0,2.8837514558583743
71.0,2.8933750714569544
72.0,2.902053540510544
73.0,2.9098120095641327
74.0,2.9166756251627137
75.0,2.9226695338512765
76.0,2.9278188821748126
77.0,2.9321488166783136
78.0,2.935684483906771
79.0,2.9384510304051736
80.0,2.940473602718516
81.0,2.941777347391787
82.0,2.9423874109699786
83.0,2.942328939998082
84.0,2.941627081021088
85.0,2.940306980583988
86.0,2.938393785231773
87.0,2.935912641509434
88.0,2.9328886959619624
89.0,2.92934709513435
90.0,2.925312985571587
91.0,2.920811513818665
92.0,2.9158678264205755
93.0,2.9105070699223083
94.0,2.904754390868856
95.0,2.8986349358052093
96.0,2.8921738512763593
97.0,2.8853962838272977
98.0,2.8783273800030145
99.0,2.8709922863485016
100.0,2.86341614940875
101.0,2.855624115728751
102.0,2.847641331853496
103.0,2.8394929443279757
104.0,2.8312040996971812
105.0,2.8227999445061043
106.0,2.814305625299736
107.0,2.8057462886230664
108.0,2.7971470810210874
109.0,2.788533149038791
110.0,2.779929639221167
111.0,2.771361698113208
112.0,2.762854472259903
113.0,2.7544331082062454
114.0,2.746122752497225
115.0,2.7379485516778344
116.0,2.729935652293063
117.0,2.7221092008879024
118.0,2.7144943440073446
119.0,2.7071162281963796
120.0,2.6999999999999997
121.0,2.693165790579055
122.0,2.6866136695578304
123.0,2.6803386911764706
124.0,2.6743359096751207
125.0,2.668600379293926
126.0,2.6631271542730306
127.0,2.657911288852578
128.0,2.652947837272715
129.0,2.648231853773585
130.0,2.643758392595333
